12:34:11 | INFO    | train_pibe         | experiment:
system            : automatica_n4v2(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
12:34:11 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
12:40:12 | INFO    | pibe.training.trainer |   cell 5 | i= 2250 | local  | obj=5.2567e-02 | data=5.0433e-02 | phys=2.1344e-03 | |g|=1.85e+00
12:40:17 | INFO    | pibe.training.trainer |   cell 5 | i= 2500 | local  | obj=4.2954e-02 | data=3.4965e-02 | phys=7.9894e-03 | |g|=2.43e+00
12:40:23 | INFO    | pibe.training.trainer |   cell 5 | i= 2750 | local  | obj=4.2557e-02 | data=3.9886e-02 | phys=2.6701e-03 | |g|=1.89e+00
12:40:28 | INFO    | pibe.training.trainer |   cell 5 | i= 3000 | global | obj=3.8729e-02 | data=3.2698e-02 | phys=6.0011e-03 | |g|=6.65e+00
12:40:39 | INFO    | pibe.training.trainer |   cell 5 | i= 3250 | global | obj=7.4173e-03 | data=3.3718e-04 | phys=5.6913e-03 | |g|=4.99e+00
12:40:50 | INFO    | pibe.training.trainer |   cell 5 | i= 3500 | global | obj=3.6359e-03 | data=6.1687e-05 | phys=2.3766e-03 | |g|=3.31e+00
12:41:01 | INFO    | pibe.training.trainer |   cell 5 | i= 3750 | global | obj=2.7955e-03 | data=2.9185e-04 | phys=1.5919e-03 | |g|=2.61e+00
12:41:11 | INFO    | pibe.training.trainer |   cell 5 | i= 4000 | global | obj=3.7394e-03 | data=3.8693e-04 | phys=2.2237e-03 | |g|=3.18e+00
12:41:22 | INFO    | pibe.training.trainer |   cell 5 | i= 4250 | global | obj=3.6250e-03 | data=2.1188e-05 | phys=2.5838e-03 | |g|=3.34e+00
12:41:33 | INFO    | pibe.training.trainer |   cell 5 | i= 4500 | global | obj=1.9585e-03 | data=2.4582e-05 | phys=1.3211e-03 | |g|=2.36e+00
12:41:43 | INFO    | pibe.training.trainer |   cell 5 | i= 4750 | global | obj=2.5665e-03 | data=1.4871e-04 | phys=8.0619e-04 | |g|=1.91e+00
12:41:54 | INFO    | pibe.training.trainer |   cell 5 | i= 5000 | global | obj=2.0495e-03 | data=4.7588e-05 | phys=1.5215e-03 | |g|=2.57e+00
12:42:04 | INFO    | pibe.training.trainer |   cell 5 | i= 5250 | global | obj=1.3931e-03 | data=8.0779e-05 | phys=7.9016e-04 | |g|=1.89e+00
12:42:15 | INFO    | pibe.training.trainer |   cell 5 | i= 5500 | global | obj=2.0144e-03 | data=5.4332e-05 | phys=1.3049e-03 | |g|=2.33e+00
12:42:25 | INFO    | pibe.training.trainer |   cell 5 | i= 5750 | global | obj=1.1741e-02 | data=5.0264e-04 | phys=6.5314e-03 | |g|=4.34e+00
12:42:36 | INFO    | pibe.training.trainer |   cell 5 | i= 6000 | global | obj=8.3890e-03 | data=1.5103e-05 | phys=6.6250e-03 | |g|=5.38e+00
12:42:46 | INFO    | pibe.training.trainer |   cell 5 | i= 6250 | global | obj=3.2786e-04 | data=7.5371e-06 | phys=3.8525e-05 | |g|=3.45e-01
12:42:57 | INFO    | pibe.training.trainer |   cell 5 | i= 6500 | global | obj=1.3386e-03 | data=2.6599e-05 | phys=1.8000e-04 | |g|=8.21e-01
12:43:07 | INFO    | pibe.training.trainer |   cell 5 | i= 6750 | global | obj=1.9440e-03 | data=4.6503e-05 | phys=1.2276e-03 | |g|=2.30e+00
12:43:18 | INFO    | pibe.training.trainer |   cell 5 | i= 7000 | global | obj=9.2473e-04 | data=4.0078e-05 | phys=6.0420e-04 | |g|=1.59e+00
12:43:29 | INFO    | pibe.training.trainer |   cell 5 | i= 7250 | global | obj=1.6937e-03 | data=5.1582e-05 | phys=1.0534e-03 | |g|=2.14e+00
